,Mean,RMS,Median,Variance,Std,Skewness,Kurtosis,Contrast,Entropy,Energy,Homogeneity,Correlation,IDM,Smoothness
193,0.502497109225404,0.5381632628700698,0.5377698039215686,0.03711635272307214,0.1926560477199513,-0.5485858073003481,-0.4743497732502635,13.39052999013032,811.9798100490195,0.01136893998578684,0.08848473512422661,0.831936774384488,0.001230060048377551,0.01238971108199025
194,0.455875532615512,0.4710795412986713,0.4576164705882353,0.01409343299268978,0.1187157655608124,-0.3756339635386141,0.4087063196401455,11.65566610443049,570.6173866421569,0.01231167913693724,0.05815072321248731,0.6898300061623475,0.001749459624837472,0.008706826891450038
195,0.4857897931686102,0.5204332301707516,0.5168839215686275,0.03485902391916147,0.1867057147469286,-0.6162776643960962,-0.3021393224080779,13.13660038016002,983.8336397058825,0.01185487586638839,0.07408559944169621,0.7833117809832838,0.001015412144007967,0.01501104822156751
196,0.469547965668323,0.5096484998671543,0.4990870588235294,0.03926630135358017,0.1981572641958406,-0.3579602428702738,-0.4399614328672077,12.94158867630554,1174.297334558824,0.009846053007573685,0.06250571058166683,0.7706391033620755,0.0008508556500259648,0.01791780813581746
197,0.4054522273583506,0.4573887660943577,0.4513890196078432,0.04481297467947148,0.2116907524656462,-0.2935609357436937,-1.321907075957548,13.02136549786848,438.8574754901961,0.02122987129591824,0.1578442197418788,0.9249748436600553,0.002273573426384824,0.006696419835445836
198,0.4216980197083717,0.4530579572283593,0.4527121568627451,0.02743229278197167,0.1656269687640623,-0.5404702855000518,-0.4459136515989304,12.97662932842155,732.2342830882351,0.01192491932678605,0.07552973872505415,0.7951207425355287,0.00136384275364614,0.01117299267938393
199,0.4455424713314281,0.464267501823304,0.4514549019607843,0.01703621948913522,0.130522869601979,-0.3124674237254861,0.2447523707487935,12.47047140147941,928.5916360294117,0.01059960468929839,0.04781952069851758,0.5806349870692276,0.001075753442482128,0.01416910351902499
200,0.4481238287712546,0.4570337860024647,0.4564552941176471,0.00806491563513797,0.0898048753416983,-0.2332775075826958,0.6489607968096243,11.19751737801901,574.2895680147059,0.01620296636176868,0.06915161553502382,0.4534074624754704,0.001738304014676507,0.008762919139607549
201,0.5363231848443722,0.5639004956712521,0.5500498039215687,0.03034121041667307,0.1741872854621516,-0.4785565315015243,-0.1052475630730587,12.90483077879725,1109.316207107843,0.009062000758498114,0.05071842835160508,0.7198324650274072,0.0009006516840018659,0.01692674498472281
202,0.4605102288279814,0.4978427562528891,0.4848321568627451,0.03577773909827377,0.1891500438759499,-0.3918440351018717,-0.5256586152445206,14.75447729759962,485.5210018382354,0.01198928992169917,0.1170995118430591,0.8954989735849319,0.002055460380398797,0.007406883343036606
203,0.4393138436231426,0.4506879583852438,0.4562780392156863,0.01012298263452027,0.1006130341184494,-0.4384764218159513,0.03500490830303926,11.12802739325455,449.5650888480393,0.01494449682123998,0.06788435646587232,0.6556116181744802,0.002219508777297091,0.006859806724825802
204,0.4435943962605794,0.4569474648051944,0.4558741176470589,0.01202499719810635,0.1096585482217704,-0.1485219320120573,-0.05917359393992783,11.17727494010971,586.9765625000001,0.0135485617593643,0.07010586836037644,0.6234196792955693,0.001700787254119762,0.008956551419822401
205,0.4432682380706189,0.4717707410722346,0.4632870588235294,0.02608090124961455,0.161495824248228,-0.4577362909396187,0.2339250563541495,13.26827129202564,1133.838955269608,0.01080025159885045,0.06165867134363715,0.6660797510044484,0.0008811906856365673,0.01730077492985881
